  221.768388 cm^{-1} ... 1 
  216.513376 cm^{-1} ... 1 
  144.022301 cm^{-1} ... 1 
  131.528992 cm^{-1} ... 1 
   99.592648 cm^{-1} ... 1 
   52.079081 cm^{-1} ... 1 
   40.335600 cm^{-1} ... 1 
   32.505284 cm^{-1} ... 0 
   80.387741 cm^{-1} ... 0 
  100.270122 cm^{-1} ... 0 
  129.411643 cm^{-1} ... 0 
  214.623777 cm^{-1} ... 0 
  285.035582 cm^{-1} ... 0 
  300.794404 cm^{-1} ... 0 
  404.608181 cm^{-1} ... 0 
  406.248680 cm^{-1} ... 0 
  430.760168 cm^{-1} ... 0 
  458.287625 cm^{-1} ... 0 
  494.848606 cm^{-1} ... 0 
  641.143968 cm^{-1} ... 0 
  677.920249 cm^{-1} ... 0 
  680.298435 cm^{-1} ... 0 
  710.408124 cm^{-1} ... 0 
 2413.462191 cm^{-1} ... 0 
 2438.844508 cm^{-1} ... 0 
 2449.069343 cm^{-1} ... 0 
 2476.077094 cm^{-1} ... 0 
